thr-2-0.8,thr,2-0.8,4.619,NaN,0.001,82.617,28.475,NaN,0.001,27.493,26.452,0.104,0.052,0.003,0.028,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,4.317,NaN,0.002,27.424,28.528,NaN,0.001,27.541,26.441,0.127,0.063,0.001,2.055,0.001,0.001,0.002,0.001
thr-2-0.8,thr,2-0.8,29.307,NaN,0.002,82.735,28.542,NaN,0.001,27.648,26.469,0.106,0.047,0.001,4.66,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,1.533,NaN,0.002,55.043,28.524,NaN,0.001,27.537,26.341,0.157,0.072,0.001,0.032,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,4.3,NaN,0.003,244.425,28.476,NaN,0.001,27.478,26.435,0.132,0.064,0.001,0.037,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,4.424,NaN,0.001,165.151,28.462,NaN,0.001,27.533,26.438,0.116,0.064,0.001,0.028,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,4.323,NaN,0.002,27.626,28.879,NaN,0.001,27.847,26.34,0.32,0.06,0.001,0.029,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,4.526,NaN,0.002,55.068,28.56,NaN,0.001,27.673,23.209,0.113,0.063,0.001,0.028,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,57.349,NaN,0.001,55.109,28.394,NaN,0.001,27.516,26.432,0.211,0.051,0.001,31.731,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,4.568,NaN,0.002,55.173,28.433,NaN,0.001,27.543,26.447,0.104,0.054,0.001,0.038,0.001,0.003,0.001,0.001
thr-2-0.8,thr,2-0.8,4.1,NaN,0.001,55.165,28.465,NaN,0.001,27.44,26.339,0.105,0.055,0.001,0.171,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,25.941,NaN,0.001,138.138,28.895,NaN,0.001,27.628,26.432,0.099,0.056,0.001,0.033,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,4.097,NaN,0.001,110.467,28.906,NaN,0.001,27.53,26.335,0.123,0.053,0.001,0.038,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,85.126,NaN,0.001,82.7,28.81,NaN,0.001,27.528,26.326,0.1,0.053,0.003,0.026,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,57.011,NaN,0.001,27.489,28.779,NaN,0.001,27.534,26.448,0.155,0.11,0.001,4.952,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,1.765,NaN,0.001,27.597,28.836,NaN,0.001,27.593,26.438,0.104,0.056,0.001,1.657,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,85.16,NaN,0.001,223.328,28.695,NaN,0.001,27.508,26.438,8.647,2.202,0.001,0.038,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,2.281,NaN,0.001,27.504,28.639,NaN,0.001,27.508,26.429,0.098,0.05,0.001,0.029,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,2.305,NaN,0.001,51.834,28.667,NaN,0.001,27.525,26.435,0.112,0.056,0.001,0.029,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,2.286,NaN,0.001,193.135,28.61,NaN,0.001,27.505,26.439,0.12,0.071,0.001,0.03,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,2.038,NaN,0.001,194.053,28.845,NaN,0.001,27.666,26.442,0.104,0.058,0.001,0.163,0.001,0.001,0.001,0.001
thr-2-0.8,thr,2-0.8,57.492,NaN,0.001,NaN,28.626,NaN,0.001,27.582,26.33,0.104,0.055,0.003,0.036,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,57.472,NaN,0.002,NaN,28.523,NaN,0.001,27.523,26.434,0.093,0.047,0.001,0.032,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,1.851,NaN,0.001,NaN,28.592,NaN,0.001,27.538,26.438,0.102,0.055,0.001,0.068,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,1.915,NaN,0.001,NaN,28.499,NaN,0.001,27.534,26.456,0.85,0.07,0.001,0.044,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,1.803,NaN,0.001,NaN,28.525,NaN,0.001,27.583,26.434,0.114,0.05,0.003,0.053,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,1.886,NaN,0.001,NaN,31.953,NaN,0.001,30.957,26.432,0.112,0.061,0.001,0.034,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,84.762,NaN,0.001,NaN,28.605,NaN,0.001,27.663,26.428,0.095,0.05,0.001,0.039,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,2.029,NaN,0.001,NaN,31.772,NaN,0.001,30.771,26.441,0.107,0.05,0.001,0.027,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,1.789,NaN,0.001,NaN,28.912,NaN,0.001,27.86,26.421,0.11,0.063,0.001,0.219,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,29.203,NaN,0.001,NaN,28.444,NaN,0.001,27.51,26.434,0.095,0.045,0.001,0.037,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,279.54,NaN,0.001,NaN,28.511,NaN,0.001,27.479,26.431,0.095,0.053,0.001,0.027,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,2.926,NaN,0.001,NaN,28.467,NaN,0.001,27.535,26.442,0.111,0.064,0.001,0.03,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,2.919,NaN,0.001,NaN,28.519,NaN,0.001,27.583,26.427,3.683,1.364,0.001,0.033,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,2.789,NaN,0.001,NaN,28.578,NaN,0.001,27.553,26.438,0.102,0.054,0.001,0.03,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,2.223,NaN,0.001,NaN,28.617,NaN,0.001,27.553,26.45,0.092,0.046,0.004,1.582,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,1.993,NaN,0.001,NaN,28.488,NaN,0.001,27.597,26.45,0.098,0.053,0.001,4.91,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,1.632,NaN,0.001,NaN,28.409,NaN,0.001,27.517,26.435,0.207,0.157,0.001,0.026,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,1.449,NaN,0.001,NaN,28.551,NaN,0.001,27.472,26.467,0.12,0.056,0.001,0.029,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,29.377,NaN,0.001,NaN,28.58,NaN,0.001,27.59,26.429,0.098,0.053,0.001,0.027,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,57.586,NaN,0.001,NaN,28.441,NaN,0.001,27.554,26.44,0.092,0.051,0.001,0.028,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,1.445,NaN,0.001,NaN,28.392,NaN,0.001,27.504,26.439,0.097,0.051,0.001,0.1,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,29.156,NaN,0.001,NaN,28.549,NaN,0.001,27.568,26.342,0.519,0.053,0.001,0.188,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,29.298,NaN,0.001,NaN,28.56,NaN,0.001,27.582,26.329,0.089,0.048,0.001,0.886,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,29.516,NaN,0.002,NaN,28.584,NaN,0.001,27.519,26.441,0.1,0.056,0.001,0.031,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,84.854,NaN,0.001,NaN,28.45,NaN,0.001,27.392,26.449,0.095,0.044,0.001,0.025,0.001,0.001,0.001,NaN
thr-2-0.8,thr,2-0.8,1.977,NaN,0.001,NaN,28.88,NaN,0.001,27.509,26.437,0.118,0.054,0.001,0.032,0.001,0.001,0.001,NaN
